customer_id,name,email,country
89,Edwin Todd,codycohen@marshall.com,Taiwan
90,Sheena Flores,xpatrick@gmail.com,Indonesia
91,Jennifer Young,keithbarrett@garcia.com,Luxembourg
92,Richard Garcia,rgreen@gmail.com,Mongolia
93,Barbara Brown,chanmary@lewis.com,Zimbabwe
94,Hannah Lee,matthewcunningham@ruiz.com,Lebanon
95,Angela Lin,amanda57@yahoo.com,Bermuda
96,Kristen Simpson,randallolson@gmail.com,Guernsey
97,Karen Jones,xcarpenter@yahoo.com,Sweden
98,Samantha Smith,natasha11@wilcox.com,Korea
99,Cory Williams,riddledavid@wheeler.info,Paraguay
100,Jonathan Massey,adammorris@garner.com,Guinea
